Size,Random,Sorted
1,0.0,0.0
2,0.28,0.5
4,0.805,1.5
8,1.5029523809523813,3.5
16,2.5045386280386284,7.5
32,3.5748779039457115,15.5
64,4.761675956149004,31.5
128,6.048245823325281,63.5
256,7.35550955706723,127.5
512,8.730288842097785,255.5
1024,10.022560038300155,511.5
2048,11.474604094909399,1023.5
4096,12.906843147185482,2047.5
8192,14.165136996649231,4095.5
16384,15.54943047373468,8191.5
